year,species_name,count_corrected,transect_length,Long_LAEA,Lat_LAEA,transect_id,bms_id
2011,Species1,1,1500,3803015,3134480,Site_1,bms_id1
2012,Species1,0.8,1500,3803015,3134480,Site_1,bms_id1
2013,Species1,1,1500,3803015,3134480,Site_1,bms_id1
2014,Species1,0.5,1500,3803015,3134480,Site_1,bms_id1
2015,Species1,1.14285714285714,1500,3803015,3134480,Site_1,bms_id1
2016,Species1,0.833333333333333,1500,3803015,3134480,Site_1,bms_id1
2017,Species1,1.26666666666667,1500,3803015,3134480,Site_1,bms_id1
2018,Species1,0.785714285714286,1500,3803015,3134480,Site_1,bms_id1
2021,Species1,1.84615384615385,1500,3803015,3134480,Site_1,bms_id1
2005,Species1,0,300,3931706,3159605,Site_2,bms_id1
2006,Species1,0.125,300,3931706,3159605,Site_2,bms_id1
2007,Species1,0.25,300,3931706,3159605,Site_2,bms_id1
2008,Species1,0.222222222222222,300,3931706,3159605,Site_2,bms_id1
2009,Species1,0.25,300,3931706,3159605,Site_2,bms_id1
2010,Species1,0.125,300,3931706,3159605,Site_2,bms_id1
2008,Species1,0.5,1200,3968030,3114740,Site_3,bms_id1
2009,Species1,0.578947368421053,1200,3968030,3114740,Site_3,bms_id1
2010,Species1,0.785714285714286,1200,3968030,3114740,Site_3,bms_id1
2011,Species1,0.909090909090909,1200,3968030,3114740,Site_3,bms_id1
2012,Species1,1.8,1200,3968030,3114740,Site_3,bms_id1
2013,Species1,1.14285714285714,1200,3968030,3114740,Site_3,bms_id1
2014,Species1,0.529411764705882,1200,3968030,3114740,Site_3,bms_id1
2015,Species1,1.88235294117647,1200,3968030,3114740,Site_3,bms_id1
2016,Species1,7.45454545454545,1200,3968030,3114740,Site_3,bms_id1
2017,Species1,0.733333333333333,1200,3968030,3114740,Site_3,bms_id1
2018,Species1,0.5625,1200,3968030,3114740,Site_3,bms_id1
2019,Species1,0,1200,3968030,3114740,Site_3,bms_id1
2020,Species1,1.7,1200,3968030,3114740,Site_3,bms_id1
2018,Species1,0,250,3990282,3130982,Site_4,bms_id1
2019,Species1,0,250,3990282,3130982,Site_4,bms_id1
2020,Species1,0,250,3990282,3130982,Site_4,bms_id1
2021,Species1,0.666666666666667,250,3990282,3130982,Site_4,bms_id1
2018,Species1,0,1000,3884037,3102853,Site_5,bms_id1
2021,Species1,0.666666666666667,1000,3884037,3102853,Site_5,bms_id1
2003,Species1,0.857142857142857,2505,4046524,2629264,Site_6,bms_id2
2008,Species1,0,2505,4046524,2629264,Site_6,bms_id2
2013,Species1,1,2505,4046524,2629264,Site_6,bms_id2
2018,Species1,3,2505,4046524,2629264,Site_6,bms_id2
2003,Species1,0.571428571428571,2514,4087466,2595838,Site_7,bms_id2
2008,Species1,0.142857142857143,2514,4087466,2595838,Site_7,bms_id2
2013,Species1,0,2514,4087466,2595838,Site_7,bms_id2
2018,Species1,0,2514,4087466,2595838,Site_7,bms_id2
2003,Species1,2,2505,4090136,2675728,Site_8,bms_id2
2008,Species1,0.142857142857143,2505,4090136,2675728,Site_8,bms_id2
2013,Species1,0.142857142857143,2505,4090136,2675728,Site_8,bms_id2
2018,Species1,0.285714285714286,2505,4090136,2675728,Site_8,bms_id2
2005,Species1,0,2502,4090942,2699698,Site_9,bms_id2
2010,Species1,0.142857142857143,2502,4090942,2699698,Site_9,bms_id2
2015,Species1,0,2502,4090942,2699698,Site_9,bms_id2
2020,Species1,0.285714285714286,2502,4090942,2699698,Site_9,bms_id2
2007,Species1,0,2469,4093203,2587642,Site_10,bms_id2
2012,Species1,0.285714285714286,2469,4093203,2587642,Site_10,bms_id2
2017,Species1,0.285714285714286,2469,4093203,2587642,Site_10,bms_id2
2005,Species1,0.428571428571429,2480,4097882,2547502,Site_11,bms_id2
2010,Species1,0.857142857142857,2480,4097882,2547502,Site_11,bms_id2
2015,Species1,1.14285714285714,2480,4097882,2547502,Site_11,bms_id2
2020,Species1,0.142857142857143,2480,4097882,2547502,Site_11,bms_id2
2005,Species1,0,2508,4103211,2707270,Site_12,bms_id2
2010,Species1,0.142857142857143,2508,4103211,2707270,Site_12,bms_id2
2015,Species1,0,2508,4103211,2707270,Site_12,bms_id2
2020,Species1,0,2508,4103211,2707270,Site_12,bms_id2
2006,Species1,0.142857142857143,2497,4119337,2650716,Site_13,bms_id2
2011,Species1,0.285714285714286,2497,4119337,2650716,Site_13,bms_id2
2016,Species1,0.571428571428571,2497,4119337,2650716,Site_13,bms_id2
2021,Species1,0,2497,4119337,2650716,Site_13,bms_id2
2003,Species1,0.857142857142857,2470,4125605,2658498,Site_14,bms_id2
2008,Species1,0,2470,4125605,2658498,Site_14,bms_id2
2013,Species1,0.142857142857143,2470,4125605,2658498,Site_14,bms_id2
2018,Species1,0.285714285714286,2470,4125605,2658498,Site_14,bms_id2
2003,Species1,0,2127,4129745,2602371,Site_15,bms_id2
2008,Species1,0,2127,4129745,2602371,Site_15,bms_id2
2013,Species1,0.166666666666667,2127,4129745,2602371,Site_15,bms_id2
2018,Species1,1,2127,4129745,2602371,Site_15,bms_id2
2003,Species1,0,2503,4136543,2626128,Site_16,bms_id2
2008,Species1,0,2503,4136543,2626128,Site_16,bms_id2
2013,Species1,0.285714285714286,2503,4136543,2626128,Site_16,bms_id2
2018,Species1,0,2503,4136543,2626128,Site_16,bms_id2
2003,Species1,0.428571428571429,2496,4143342,2649888,Site_17,bms_id2
2008,Species1,0,2496,4143342,2649888,Site_17,bms_id2
2013,Species1,0.142857142857143,2496,4143342,2649888,Site_17,bms_id2
2018,Species1,0.714285714285714,2496,4143342,2649888,Site_17,bms_id2
2006,Species1,0,2534,4150675,2689629,Site_18,bms_id2
2011,Species1,1.42857142857143,2534,4150675,2689629,Site_18,bms_id2
2016,Species1,0,2534,4150675,2689629,Site_18,bms_id2
2021,Species1,0,2534,4150675,2689629,Site_18,bms_id2
2003,Species1,0.142857142857143,2501,4151477,2713599,Site_19,bms_id2
2008,Species1,0.142857142857143,2501,4151477,2713599,Site_19,bms_id2
2013,Species1,0.571428571428571,2501,4151477,2713599,Site_19,bms_id2
2018,Species1,0,2501,4151477,2713599,Site_19,bms_id2
2003,Species1,0,2536,4167879,2665044,Site_20,bms_id2
2008,Species1,0,2536,4167879,2665044,Site_20,bms_id2
2013,Species1,0.285714285714286,2536,4167879,2665044,Site_20,bms_id2
2018,Species1,1,2536,4167879,2665044,Site_20,bms_id2
2004,Species1,0.142857142857143,2501,4222155,2671204,Site_21,bms_id2
2009,Species1,0.571428571428571,2501,4222155,2671204,Site_21,bms_id2
2014,Species1,0,2501,4222155,2671204,Site_21,bms_id2
2019,Species1,0.142857142857143,2501,4222155,2671204,Site_21,bms_id2
2007,Species1,0,2513,4236474,2558776,Site_22,bms_id2
